DMS_id,Kermut,ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,1.736,2.424,1.27,1.12,1.664,1.53,1.321,1.315,1.461,1.343,1.402
BBC1_YEAST_Tsuboyama_2023_1TG0,0.349,0.659,0.602,0.856,0.799,0.904,0.844,0.835,1.047,0.562,0.731
BCHB_CHLTE_Tsuboyama_2023_2KRU,0.492,0.951,0.683,1.075,1.068,0.915,1.013,1.05,1.185,0.667,1.025
BLAT_ECOLX_Deng_2012,0.778,0.806,0.715,0.753,0.784,0.77,0.835,0.754,1.017,0.762,0.998
BLAT_ECOLX_Firnberg_2014,0.354,0.549,0.438,0.505,0.61,0.574,0.703,0.534,1.002,0.465,0.752
BLAT_ECOLX_Jacquier_2013,0.393,0.491,0.42,0.536,0.598,0.573,0.603,0.509,1.019,0.469,0.704
BLAT_ECOLX_Stiffler_2015,0.367,0.485,0.413,0.522,0.593,0.574,0.683,0.536,1.005,0.465,0.689
BRCA1_HUMAN_Findlay_2018,0.607,0.762,0.777,0.873,0.75,0.78,0.726,0.728,1.011,0.72,0.921
BRCA2_HUMAN_Erwood_2022_HEK293T,1.176,1.238,1.354,1.174,1.399,1.484,1.192,1.208,1.375,1.404,1.179
C6KNH7_9INFA_Lee_2018,0.614,0.802,0.847,0.893,0.841,0.889,0.842,0.828,1.024,0.832,0.858
CALM1_HUMAN_Weile_2017,0.973,0.979,0.964,0.952,0.958,0.948,0.939,0.944,1.006,1.008,1.311
CAPSD_AAV2S_Sinai_2021,0.874,0.652,0.688,0.71,1.095,0.732,0.83,0.789,1.097,0.62,0.667
CAR11_HUMAN_Meitlis_2020_gof,0.981,0.977,1.065,1.104,1.035,1.076,1.1,1.102,1.081,1.137,1.075
CAR11_HUMAN_Meitlis_2020_lof,0.602,0.686,0.91,0.97,0.794,0.962,0.982,0.97,1.02,0.799,0.833
CAS9_STRP1_Spencer_2017_positive,0.968,1.013,0.978,1.003,1.021,0.986,0.994,0.992,1.004,0.977,0.986
CASP3_HUMAN_Roychowdhury_2020,0.641,0.624,0.543,0.635,0.656,0.591,0.875,0.643,1.005,0.619,1.271
CASP7_HUMAN_Roychowdhury_2020,0.642,0.672,0.623,0.668,0.676,0.649,0.767,0.688,1.006,0.79,0.798
CATR_CHLRE_Tsuboyama_2023_2AMI,0.393,0.443,0.484,0.858,0.954,1.053,0.833,0.837,1.065,0.357,0.418
CBPA2_HUMAN_Tsuboyama_2023_1O6X,0.27,0.45,0.436,0.881,0.818,0.792,0.759,0.802,1.137,0.363,0.589
CBS_HUMAN_Sun_2020,0.849,0.859,0.867,0.865,0.893,0.874,0.926,0.89,1.002,0.79,0.862
CBX4_HUMAN_Tsuboyama_2023_2K28,0.333,0.678,0.459,0.825,0.861,0.713,0.76,0.696,1.127,0.401,0.775
CCDB_ECOLI_Adkar_2012,0.939,1.015,0.844,0.773,1.046,0.915,0.838,0.761,1.133,0.898,1.224
CCDB_ECOLI_Tripathi_2016,0.733,0.949,0.777,0.782,0.939,0.839,0.725,0.73,1.118,0.753,1.26
CCR5_HUMAN_Gill_2023,0.887,0.85,0.854,0.926,0.883,0.872,0.848,0.89,1.007,0.804,0.805
CD19_HUMAN_Klesmith_2019_FMC_singles,0.901,0.988,0.932,0.989,1.026,0.982,0.997,0.986,1.02,0.819,0.894
CP2C9_HUMAN_Amorosi_2021_abundance,0.457,0.623,0.652,0.662,0.669,0.673,0.615,0.618,1.026,0.584,0.636
CP2C9_HUMAN_Amorosi_2021_activity,0.461,0.606,0.599,0.624,0.614,0.665,0.643,0.622,1.013,0.539,0.692
CSN4_MOUSE_Tsuboyama_2023_1UFM,0.327,0.485,0.421,0.876,0.682,0.862,0.732,0.768,1.05,0.374,0.563
CUE1_YEAST_Tsuboyama_2023_2MYX,0.494,0.679,0.522,0.797,0.894,0.83,0.891,0.803,1.053,0.497,0.778
D7PM05_CLYGR_Somermeyer_2022,0.66,1.154,0.568,0.834,1.07,0.73,0.916,0.826,1.049,0.575,0.877
DLG4_HUMAN_Faure_2021,0.621,0.706,0.753,0.871,0.86,0.775,0.618,0.672,1.013,0.782,0.726
DLG4_RAT_McLaughlin_2012,0.697,0.686,0.798,0.842,0.756,0.839,0.825,0.79,1.065,0.669,0.775
DN7A_SACS2_Tsuboyama_2023_1JIC,0.42,0.84,0.523,1.084,1.099,1.034,1.084,1.092,1.129,0.453,0.694
DNJA1_HUMAN_Tsuboyama_2023_2LO1,0.373,0.349,0.499,0.879,0.904,0.987,0.66,0.793,1.081,0.351,0.416
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,0.484,0.579,0.518,0.937,0.703,0.702,0.757,0.809,1.064,0.492,0.768
DYR_ECOLI_Nguyen_2023,0.558,0.609,0.564,0.74,0.643,0.757,0.855,0.774,1.049,0.617,0.864
DYR_ECOLI_Thompson_2019,0.734,0.85,0.719,0.801,0.856,0.793,0.922,0.812,1.061,0.709,1.11
ENV_HV1B9_DuenasDecamp_2016,1.223,1.007,0.962,0.968,0.898,0.962,0.918,0.925,1.184,1.41,1.033
ENV_HV1BR_Haddox_2016,0.949,0.966,0.954,0.961,0.974,0.964,0.953,0.951,1.006,0.958,0.947
ENVZ_ECOLI_Ghose_2023,0.943,1.249,1.025,0.993,0.932,0.942,0.899,0.965,1.037,1.282,1.257
EPHB2_HUMAN_Tsuboyama_2023_1F0M,0.254,0.367,0.298,0.759,0.561,0.651,0.705,0.697,1.106,0.249,0.551
ERBB2_HUMAN_Elazar_2016,0.727,0.876,0.833,1.261,0.985,1.138,0.917,1.063,1.118,0.993,0.739
ESTA_BACSU_Nutschel_2020,0.7,0.99,0.804,0.874,0.967,0.884,0.99,0.907,1.042,0.802,1.306
F7YBW7_MESOW_Ding_2023,1.8,2.018,1.665,1.839,1.763,1.417,1.695,1.756,2.206,2.049,2.027
F7YBW8_MESOW_Aakre_2015,2.338,1.323,2.475,1.794,1.967,2.13,1.386,1.521,3.314,3.154,0.576
FECA_ECOLI_Tsuboyama_2023_2D1U,0.357,0.916,0.573,0.939,1.048,0.913,1.037,1.002,1.096,0.593,0.856
FKBP3_HUMAN_Tsuboyama_2023_2KFV,0.567,0.913,0.567,0.855,1.058,0.962,0.96,0.894,1.081,0.513,0.715
GAL4_YEAST_Kitzman_2015,0.663,0.962,0.69,0.79,0.857,0.744,0.852,0.919,1.031,0.809,0.921
GCN4_YEAST_Staller_2018,2.168,4.433,2.143,2.398,2.845,2.766,3.013,2.646,2.941,2.413,2.566
GDIA_HUMAN_Silverstein_2021,0.699,0.694,0.689,0.808,0.768,0.802,0.737,0.745,1.022,0.863,0.784
GFP_AEQVI_Sarkisyan_2016,0.81,1.08,0.898,0.988,1.137,1.005,0.992,0.931,1.136,1.061,1.01
GLPA_HUMAN_Elazar_2016,0.968,0.991,0.966,1.016,0.9,0.946,0.929,0.942,1.05,0.972,0.882
GRB2_HUMAN_Faure_2021,0.37,0.59,0.726,0.714,0.703,0.671,0.864,0.733,1.023,0.717,1.012
HCP_LAMBD_Tsuboyama_2023_2L6Q,0.304,0.409,0.405,1.111,0.914,0.959,0.778,0.803,1.14,0.37,0.479
HECD1_HUMAN_Tsuboyama_2023_3DKM,0.43,0.678,0.345,0.691,0.935,0.607,0.75,0.684,1.042,0.363,0.551
HEM3_HUMAN_Loggerenberg_2023,0.778,0.825,0.791,0.843,0.859,0.811,0.854,0.824,1.004,0.769,0.807
HIS7_YEAST_Pokusaeva_2019,1.172,1.507,1.686,1.153,1.115,1.118,1.069,1.15,1.208,1.293,1.184
HMDH_HUMAN_Jiang_2019,0.722,0.672,0.929,0.872,0.89,0.942,0.956,0.913,1.009,0.562,0.647
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,0.916,0.901,0.88,0.946,0.945,0.918,0.942,0.937,1.064,0.881,0.9
HSP82_YEAST_Flynn_2019,0.743,0.803,0.814,0.815,0.823,0.816,0.775,0.78,1.03,0.677,0.675
HSP82_YEAST_Mishra_2016,0.588,0.811,0.966,0.851,0.844,0.963,0.773,0.776,1.269,0.954,0.832
HXK4_HUMAN_Gersing_2022_activity,0.708,0.832,0.802,0.858,0.875,0.827,0.949,0.882,1.016,0.725,0.829
HXK4_HUMAN_Gersing_2023_abundance,0.708,0.778,0.808,0.87,0.891,0.832,1.002,0.935,1.006,0.623,0.758
I6TAH8_I68A0_Doud_2015,0.898,1.189,0.917,0.998,1.061,0.932,0.927,0.891,1.045,1.053,0.941
IF1_ECOLI_Kelsic_2016,0.608,0.768,0.601,0.676,0.723,0.885,0.646,0.683,1.055,0.794,0.862
ILF3_HUMAN_Tsuboyama_2023_2L33,0.464,0.492,0.436,0.87,0.861,0.809,0.825,0.824,1.101,0.404,0.572
ISDH_STAAW_Tsuboyama_2023_2LHR,0.489,0.714,0.885,1.146,1.034,1.119,1.138,1.15,1.111,0.657,1.129
KCNE1_HUMAN_Muhammad_2023_expression,1.121,0.632,0.848,1.05,1.039,1.059,1.034,1.035,1.045,0.694,0.665
KCNE1_HUMAN_Muhammad_2023_function,0.659,0.539,0.473,0.774,0.688,0.747,0.579,0.557,1.009,0.505,0.47
KCNH2_HUMAN_Kozek_2020,0.835,0.782,0.979,1.063,1.132,1.078,0.763,0.814,1.096,0.982,0.967
KCNJ2_MOUSE_Coyote-Maestas_2022_function,0.881,0.906,0.915,0.915,0.91,0.933,0.948,0.922,1.004,0.857,0.927
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,0.718,0.76,0.795,0.915,0.881,0.884,0.864,0.858,1.005,0.608,0.694
KKA2_KLEPN_Melnikov_2014,0.557,0.668,0.602,0.704,0.719,0.721,0.747,0.702,1.042,0.635,0.772
LGK_LIPST_Klesmith_2015,0.651,0.732,0.695,0.824,0.772,0.749,0.874,0.799,1.031,0.725,0.976
LYAM1_HUMAN_Elazar_2016,0.662,0.833,0.793,1.247,0.981,0.963,1.017,1.038,1.116,0.93,0.881
MAFG_MOUSE_Tsuboyama_2023_1K1V,0.351,0.674,0.627,0.985,0.943,0.96,0.785,0.82,1.082,0.596,0.611
MBD11_ARATH_Tsuboyama_2023_6ACV,0.418,0.738,0.531,0.8,1.017,0.822,0.87,0.788,1.047,0.422,0.706
MET_HUMAN_Estevam_2023,0.542,0.593,0.548,0.64,0.625,0.584,0.681,0.626,1.006,0.586,0.643
MK01_HUMAN_Brenan_2016,0.857,1.011,1.005,1.004,1.033,1.039,1.048,1.02,1.042,1.078,1.233
MLAC_ECOLI_MacRae_2023,0.723,0.708,0.704,0.842,0.855,0.837,0.886,0.831,1.016,0.675,0.764
MSH2_HUMAN_Jia_2020,0.768,0.826,0.799,0.839,0.826,0.798,0.859,0.81,1.042,0.783,0.969
MTH3_HAEAE_RockahShmuel_2015,0.502,0.531,0.52,0.51,0.556,0.567,0.711,0.563,1.017,0.516,0.789
MTHR_HUMAN_Weile_2021,0.668,0.671,0.912,0.927,0.894,0.914,0.925,0.912,1.024,0.532,0.632
MYO3_YEAST_Tsuboyama_2023_2BTT,0.388,0.677,0.645,0.946,0.84,0.889,0.941,0.915,1.08,0.697,1.096
NCAP_I34A1_Doud_2015,0.828,1.14,0.878,0.894,1.024,0.881,0.845,0.834,1.005,0.928,0.865
NKX31_HUMAN_Tsuboyama_2023_2L9R,0.354,0.474,0.356,0.725,0.788,0.674,0.65,0.645,1.076,0.32,0.451
NPC1_HUMAN_Erwood_2022_HEK293T,0.45,0.872,0.463,0.648,0.896,0.504,0.647,0.569,1.029,0.482,0.64
NPC1_HUMAN_Erwood_2022_RPE1,0.517,1.609,0.661,0.759,1.109,0.687,0.606,0.515,1.248,0.767,0.815
NRAM_I33A0_Jiang_2016,1.572,1.727,0.815,1.194,1.594,0.939,1.097,1.016,1.517,0.788,1.069
NUD15_HUMAN_Suiter_2020,0.546,0.66,0.52,0.673,0.644,0.554,0.672,0.627,1.023,0.511,0.754
NUSA_ECOLI_Tsuboyama_2023_1WCL,0.244,0.379,0.377,1.039,1.009,0.994,0.865,0.836,1.17,0.304,0.448
NUSG_MYCTU_Tsuboyama_2023_2MI6,0.248,0.504,0.322,0.824,1.042,0.815,0.826,0.837,1.164,0.28,0.433
OBSCN_HUMAN_Tsuboyama_2023_1V1C,0.286,0.401,0.45,0.739,0.658,0.748,0.758,0.712,1.276,0.357,0.603
ODP2_GEOSE_Tsuboyama_2023_1W4G,0.444,1.312,0.7,1.049,1.162,0.901,0.964,0.98,1.152,0.669,1.031
OPSD_HUMAN_Wan_2019,0.624,0.702,0.522,0.736,0.736,0.659,0.796,0.776,1.078,0.521,0.762
OTC_HUMAN_Lo_2023,0.448,0.571,0.458,0.755,0.701,0.701,0.752,0.679,1.009,0.455,0.721
OTU7A_HUMAN_Tsuboyama_2023_2L2D,0.425,0.462,1.16,1.105,0.643,1.103,0.983,1.069,1.058,0.8,1.012
OXDA_RHOTO_Vanella_2023_activity,0.781,0.896,0.853,0.898,0.92,0.917,0.962,0.932,1.02,0.834,0.948
OXDA_RHOTO_Vanella_2023_expression,0.676,0.825,0.771,0.936,0.924,0.923,0.926,0.923,1.013,0.73,0.846
P53_HUMAN_Giacomelli_2018_Null_Etoposide,0.607,0.715,0.865,1.0,0.759,0.984,0.845,0.877,1.131,0.738,0.984
P53_HUMAN_Giacomelli_2018_Null_Nutlin,0.837,1.017,1.121,1.25,1.03,1.249,1.126,1.16,1.305,1.088,1.24
P53_HUMAN_Giacomelli_2018_WT_Nutlin,0.588,0.74,1.005,1.212,0.897,1.265,1.123,1.124,1.334,0.712,1.185
P53_HUMAN_Kotler_2018,0.467,0.744,0.66,0.738,0.729,0.722,0.737,0.715,1.029,0.673,0.789
P84126_THETH_Chan_2017,0.451,0.672,0.464,0.622,0.73,0.602,0.758,0.693,1.024,0.575,0.916
PA_I34A1_Wu_2015,1.058,1.142,1.52,0.902,1.09,1.026,0.887,0.868,1.073,1.056,0.91
PABP_YEAST_Melamed_2013,0.466,0.562,0.55,0.758,0.59,0.594,0.583,0.585,1.048,0.557,0.622
PAI1_HUMAN_Huttinger_2021,0.73,0.829,0.767,0.846,0.831,0.813,0.845,0.825,1.015,0.7,0.82
PHOT_CHLRE_Chen_2023,0.472,0.51,0.535,0.656,0.628,0.666,0.739,0.74,1.033,0.478,0.727
PIN1_HUMAN_Tsuboyama_2023_1I6C,0.371,0.652,0.386,0.65,0.721,0.582,0.527,0.531,1.125,0.388,0.698
PITX2_HUMAN_Tsuboyama_2023_2L7M,0.412,0.73,0.489,0.81,0.782,0.703,0.696,0.736,1.036,0.474,0.62
PKN1_HUMAN_Tsuboyama_2023_1URF,0.413,0.467,0.469,1.045,0.982,1.033,0.999,0.995,1.131,0.436,0.547
POLG_CXB3N_Mattenberger_2021,0.763,1.366,0.718,0.809,1.086,0.717,0.851,0.78,1.018,0.669,1.109
POLG_DEN26_Suphatrakul_2023,0.684,1.002,0.713,0.922,1.04,0.787,1.045,1.021,1.012,0.528,0.711
POLG_HCVJF_Qi_2014,0.771,0.927,0.552,0.813,0.652,0.643,0.746,0.803,1.005,0.68,1.405
POLG_PESV_Tsuboyama_2023_2MXD,0.443,0.759,0.505,1.141,1.121,0.887,1.088,1.087,1.101,0.475,0.726
PPARG_HUMAN_Majithia_2016,0.639,0.426,0.573,0.603,0.556,0.641,0.662,0.573,1.029,0.303,0.484
PPM1D_HUMAN_Miller_2022,0.607,0.66,0.749,0.765,0.666,0.762,0.766,0.716,1.01,0.639,0.695
PR40A_HUMAN_Tsuboyama_2023_1UZC,0.535,0.669,0.33,0.833,0.996,0.656,0.802,0.745,1.045,0.319,0.696
PRKN_HUMAN_Clausen_2023,0.516,0.573,0.761,0.722,0.656,0.791,0.638,0.583,1.05,0.596,0.607
PSAE_SYNP2_Tsuboyama_2023_1PSE,0.46,0.536,0.803,0.972,0.872,1.029,1.005,0.975,1.061,0.707,0.702
PTEN_HUMAN_Matreyek_2021,0.639,0.836,0.786,0.892,0.87,0.856,0.933,0.859,1.023,0.8,1.116
PTEN_HUMAN_Mighell_2018,0.622,0.762,0.731,0.717,0.79,0.844,0.852,0.695,1.078,0.71,0.963
Q2N0S5_9HIV1_Haddox_2018,0.738,0.755,0.743,0.864,0.76,0.752,0.768,0.759,1.021,0.682,0.713
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,0.756,0.708,0.764,0.966,0.982,0.967,0.986,0.961,1.101,0.657,0.733
Q53Z42_HUMAN_McShan_2019_expression,0.633,0.724,0.641,0.749,0.806,0.702,0.747,0.715,1.019,0.768,0.793
Q59976_STRSQ_Romero_2015,0.522,0.722,0.633,0.649,0.745,0.65,0.653,0.618,1.007,0.554,0.658
Q6WV13_9MAXI_Somermeyer_2022,1.011,1.295,0.759,1.003,1.053,0.914,1.009,0.979,1.05,0.689,0.998
Q837P4_ENTFA_Meier_2023,0.855,0.689,0.565,0.74,0.765,0.762,0.805,0.693,1.221,0.715,0.702
Q837P5_ENTFA_Meier_2023,0.803,1.31,0.885,0.872,1.026,1.015,0.879,0.891,1.161,0.832,0.793
Q8WTC7_9CNID_Somermeyer_2022,0.835,1.041,0.784,1.016,1.052,0.946,0.975,0.96,1.04,0.935,1.061
R1AB_SARS2_Flynn_2022,0.71,1.067,1.058,1.013,1.071,1.07,0.908,0.742,1.057,1.114,0.941
RAD_ANTMA_Tsuboyama_2023_2CJJ,0.691,0.661,0.607,1.103,0.967,0.807,0.936,0.977,1.06,0.601,1.002
RAF1_HUMAN_Zinkus-Boltz_2019,0.72,1.175,0.797,0.913,0.87,0.838,0.829,0.818,1.103,0.779,1.179
RASH_HUMAN_Bandaru_2017,0.566,0.771,0.66,0.803,0.893,0.851,0.803,0.783,1.044,0.72,0.925
RASK_HUMAN_Weng_2022_abundance,0.712,0.724,0.679,0.987,1.02,0.985,0.909,0.959,1.019,0.656,0.644
RASK_HUMAN_Weng_2022_binding-DARPin_K55,0.533,0.594,0.555,0.754,0.815,0.665,0.785,0.755,1.028,0.552,0.581
RBP1_HUMAN_Tsuboyama_2023_2KWH,0.243,0.326,0.483,0.949,0.859,1.057,0.915,0.936,1.088,0.407,0.556
RCD1_ARATH_Tsuboyama_2023_5OAO,0.41,0.458,0.508,1.033,1.057,1.005,1.042,1.025,1.087,0.507,0.729
RCRO_LAMBD_Tsuboyama_2023_1ORC,0.428,0.593,0.636,0.879,0.931,0.822,0.865,0.814,1.109,0.514,0.632
RD23A_HUMAN_Tsuboyama_2023_1IFY,0.318,0.33,0.324,0.818,0.666,0.703,0.7,0.724,1.077,0.25,0.48
RDRP_I33A0_Li_2023,0.87,0.991,0.734,0.821,1.014,0.74,0.791,0.711,1.001,0.673,0.769
REV_HV1H2_Fernandes_2016,0.936,0.994,0.956,1.02,1.018,1.006,1.011,1.016,1.088,1.149,1.104
RFAH_ECOLI_Tsuboyama_2023_2LCL,0.538,0.751,0.6,0.949,0.964,0.949,0.995,0.98,1.041,0.612,0.835
RL20_AQUAE_Tsuboyama_2023_1GYZ,0.509,0.698,0.754,1.018,0.974,1.075,0.953,0.989,1.167,0.706,0.751
RL40A_YEAST_Mavor_2016,0.723,0.919,0.855,0.908,0.999,0.915,0.915,0.901,1.077,1.116,1.101
RL40A_YEAST_Roscoe_2013,0.663,0.886,0.706,0.891,1.017,0.932,0.887,0.882,1.088,1.016,0.9
RL40A_YEAST_Roscoe_2014,0.622,0.953,0.833,0.895,0.98,0.905,0.874,0.892,1.043,0.978,1.101
RNC_ECOLI_Weeks_2023,0.512,0.493,0.468,0.728,0.676,0.68,0.806,0.677,1.043,0.397,0.555
RPC1_BP434_Tsuboyama_2023_1R69,0.262,0.329,0.328,0.759,0.506,0.65,0.563,0.766,1.041,0.323,0.496
RPC1_LAMBD_Li_2019_high-expression,0.547,0.708,0.598,0.732,0.713,0.735,0.744,0.693,1.069,0.708,0.867
RPC1_LAMBD_Li_2019_low-expression,0.638,0.831,0.611,0.754,0.788,0.803,0.782,0.738,1.027,0.727,0.949
RS15_GEOSE_Tsuboyama_2023_1A32,0.364,0.415,0.494,1.078,1.056,1.011,0.989,1.065,1.197,0.623,0.641
S22A1_HUMAN_Yee_2023_abundance,0.506,0.637,0.649,0.707,0.662,0.652,0.61,0.622,1.004,0.485,0.517
S22A1_HUMAN_Yee_2023_activity,0.483,0.64,0.684,0.689,0.698,0.687,0.628,0.634,1.004,0.492,0.548
SAV1_MOUSE_Tsuboyama_2023_2YSB,0.582,0.747,0.675,0.89,0.733,0.739,0.761,0.798,1.09,0.662,0.956
SBI_STAAM_Tsuboyama_2023_2JVG,0.5,0.815,0.463,0.919,1.015,0.754,0.943,0.891,1.047,0.456,0.83
SC6A4_HUMAN_Young_2021,0.701,0.782,0.742,0.869,0.795,0.742,0.83,0.784,1.049,0.685,0.895
SCIN_STAAR_Tsuboyama_2023_2QFF,0.459,0.583,0.503,0.981,0.928,0.973,1.037,0.985,1.065,0.484,0.761
SCN5A_HUMAN_Glazer_2019,0.973,1.128,1.195,1.026,0.997,1.013,1.056,1.033,1.02,1.268,1.554
SDA_BACSU_Tsuboyama_2023_1PV0,0.466,0.604,0.445,0.82,0.879,0.742,0.822,0.832,1.093,0.344,0.501
SERC_HUMAN_Xie_2023,0.518,0.594,0.59,0.667,0.64,0.657,0.612,0.657,1.034,0.588,0.563
SHOC2_HUMAN_Kwon_2022,0.806,0.819,0.844,0.872,0.843,0.844,0.87,0.855,1.024,0.746,0.829
SOX30_HUMAN_Tsuboyama_2023_7JJK,0.519,0.522,0.704,1.008,0.898,0.928,0.996,0.969,1.087,0.549,0.876
SPA_STAAU_Tsuboyama_2023_1LP1,0.573,0.778,0.495,0.967,1.071,0.828,0.965,0.926,1.065,0.508,0.601
SPG1_STRSG_Olson_2014,0.787,0.849,1.493,1.196,1.118,1.12,1.098,1.09,1.185,1.286,0.897
SPG1_STRSG_Wu_2016,4.514,5.213,6.822,5.62,5.074,6.821,5.72,6.056,5.653,5.922,5.103
SPG2_STRSG_Tsuboyama_2023_5UBS,0.334,0.845,0.546,1.017,1.058,1.046,1.064,0.992,1.051,0.579,0.814
SPIKE_SARS2_Starr_2020_binding,0.582,2.309,1.233,1.094,1.106,0.949,1.018,1.013,1.072,1.244,0.881
SPIKE_SARS2_Starr_2020_expression,0.405,1.52,0.733,0.981,1.076,0.733,0.928,0.836,1.048,0.95,1.039
SPTN1_CHICK_Tsuboyama_2023_1TUD,0.385,0.542,0.565,0.854,0.745,0.836,0.817,0.818,1.072,0.565,0.659
SQSTM_MOUSE_Tsuboyama_2023_2RRU,0.351,0.563,0.339,0.729,0.981,0.761,0.779,0.721,1.171,0.278,0.505
SR43C_ARATH_Tsuboyama_2023_2N88,0.258,0.491,0.601,0.778,0.878,0.861,0.817,0.769,1.263,0.443,0.598
SRBS1_HUMAN_Tsuboyama_2023_2O2W,0.372,0.693,0.443,0.765,0.817,0.633,0.727,0.685,1.092,0.387,0.713
SRC_HUMAN_Ahler_2019,0.692,0.795,0.931,0.91,0.816,0.963,0.861,0.865,1.058,1.045,0.953
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,0.926,0.894,0.894,0.961,0.93,0.934,0.949,0.949,1.034,0.983,0.985
SRC_HUMAN_Nguyen_2022,0.764,0.817,0.847,0.912,0.86,0.871,0.899,0.902,1.014,0.908,0.933
SUMO1_HUMAN_Weile_2017,0.687,0.827,0.76,0.862,0.813,0.784,0.904,0.835,1.06,0.86,1.029
SYUA_HUMAN_Newberry_2020,0.73,0.688,0.774,1.38,1.229,1.411,1.289,1.297,1.501,0.899,0.665
TADBP_HUMAN_Bolognesi_2019,0.665,0.519,0.863,1.358,1.358,1.364,1.36,1.373,1.33,0.557,0.776
TAT_HV1BR_Fernandes_2016,0.889,0.963,0.864,1.121,1.033,1.061,1.151,1.122,1.202,0.831,1.14
TCRG1_MOUSE_Tsuboyama_2023_1E0L,0.263,0.302,0.513,0.898,0.56,0.657,0.62,0.719,1.14,0.449,0.464
THO1_YEAST_Tsuboyama_2023_2WQG,0.437,0.784,0.782,1.056,0.929,0.933,1.002,1.003,1.04,0.654,0.923
TNKS2_HUMAN_Tsuboyama_2023_5JRT,0.355,0.409,0.46,0.735,0.649,0.824,0.7,0.692,1.066,0.418,0.577
TPK1_HUMAN_Weile_2017,0.931,0.924,0.929,0.967,0.951,0.944,0.95,0.947,1.003,1.008,1.237
TPMT_HUMAN_Matreyek_2018,0.587,0.682,0.676,0.798,0.765,0.83,0.86,0.811,1.067,0.683,1.346
TPOR_HUMAN_Bridgford_2020,0.855,0.847,0.886,1.018,0.93,0.917,0.972,0.974,1.072,0.961,0.865
TRPC_SACS2_Chan_2017,0.505,0.638,0.515,0.673,0.665,0.584,0.752,0.672,1.024,0.536,0.742
TRPC_THEMA_Chan_2017,0.74,0.878,0.859,0.856,0.813,0.807,0.871,0.842,1.042,0.871,1.323
UBC9_HUMAN_Weile_2017,0.831,0.921,0.813,0.834,0.901,0.846,0.878,0.823,1.039,0.805,1.029
